Различия в данных ожидаемых и реальных связано с малым количеством отправленных заявок. Как можно увидеть, чем ближе друг к другу интенсивность потока заявок и интенсивность их обслуживания, тем меньше их вероятность простоя и отклонения.
Теоретические данные отличаются от экспермиментальных в связи стем, что отправляется относительно малое количество заявок (100 штук в каждом эксперименте)
Вероятность простоя тем меньше, чем ближе друг к другу интенсивность потока заявок и интенсивность их обслуживания
Вероятность отказа тем меньше чем больше интенсивность обслуживания заявок по сранению с интенсивностью их потока
То же самое можно сказать про относительную и абсолютную пропускную способность, а так же про среднее число занятых каналов
Отрицательные значения иногда встречаются из-за ограничений вычисления чисел с плавающей точкой

Количестве каналов: 5
лямбда   мю       P0(эксп.- теор.)   Pn(эксп.- теор.)   Q(эксп. - теор.)   A(эксп. - теор.)   k(эксп. - теор.)
3,50000; 2,50000; 0,00054 - 0,25016; 0,00000 - 0,01121; 1,00000 - 0,98879; 3,50000 - 3,46076; 1,35126 - 1,38430
3,50000; 3,00000; 0,00054 - 0,31357; 0,00000 - 0,00565; 1,00000 - 0,99435; 3,50000 - 3,48023; 1,13864 - 1,16008
3,50000; 3,50000; 0,00914 - 0,36923; 0,00000 - 0,00308; 1,00000 - 0,99692; 3,50000 - 3,48923; 0,99086 - 0,99692
3,50000; 4,00000; 0,11117 - 0,41773; 0,00000 - 0,00179; 1,00000 - 0,99821; 3,50000 - 3,49375; 0,88883 - 0,87344
3,50000; 4,50000; 0,22419 - 0,46000; 0,00000 - 0,00109; 1,00000 - 0,99891; 3,50000 - 3,49618; 0,77581 - 0,77693
3,50000; 5,00000; 0,33046 - 0,49698; 0,00000 - 0,00070; 1,00000 - 0,99930; 3,50000 - 3,49756; 0,66954 - 0,69951
3,50000; 5,50000; 0,38242 - 0,52949; 0,00000 - 0,00046; 1,00000 - 0,99954; 3,50000 - 3,49839; 0,61758 - 0,63607
3,50000; 6,00000; 0,43392 - 0,55823; 0,00000 - 0,00031; 1,00000 - 0,99969; 3,50000 - 3,49890; 0,56608 - 0,58315
4,00000; 0,50000; 0,00060 - 0,00337; 0,36000 - 0,91942; 0,64000 - 0,08058; 2,56000 - 0,32233; 4,64819 - 0,64467
4,00000; 1,00000; 0,00060 - 0,02913; 0,00000 - 0,24854; 1,00000 - 0,75146; 4,00000 - 3,00583; 3,75495 - 3,00583
4,00000; 1,50000; 0,00060 - 0,08007; 0,00000 - 0,08997; 1,00000 - 0,91003; 4,00000 - 3,64011; 2,50181 - 2,42674
4,00000; 2,00000; 0,00060 - 0,14286; 0,00000 - 0,03810; 1,00000 - 0,96190; 4,00000 - 3,84762; 1,92599 - 1,92381
4,00000; 2,50000; 0,00060 - 0,20679; 0,00000 - 0,01807; 1,00000 - 0,98193; 4,00000 - 3,92772; 1,50993 - 1,57109
4,00000; 3,00000; 0,00060 - 0,26674; 0,00000 - 0,00937; 1,00000 - 0,99063; 4,00000 - 3,96253; 1,27768 - 1,32084
4,00000; 3,50000; 0,00060 - 0,32095; 0,00000 - 0,00521; 1,00000 - 0,99479; 4,00000 - 3,97914; 1,10397 - 1,13690
4,00000; 4,00000; 0,01632 - 0,36923; 0,00000 - 0,00308; 1,00000 - 0,99692; 4,00000 - 3,98769; 0,98368 - 0,99692
4,00000; 4,50000; 0,12927 - 0,41203; 0,00000 - 0,00191; 1,00000 - 0,99809; 4,00000 - 3,99238; 0,87073 - 0,88720
4,00000; 5,00000; 0,24186 - 0,44996; 0,00000 - 0,00123; 1,00000 - 0,99877; 4,00000 - 3,99509; 0,75814 - 0,79902
4,00000; 5,50000; 0,30241 - 0,48367; 0,00000 - 0,00082; 1,00000 - 0,99918; 4,00000 - 3,99672; 0,69759 - 0,72668
4,00000; 6,00000; 0,36533 - 0,51374; 0,00000 - 0,00056; 1,00000 - 0,99944; 4,00000 - 3,99774; 0,63467 - 0,66629
4,50000; 0,50000; 0,00068 - 0,00225; 0,44000 - 1,10486; 0,56000 - -0,10486; 2,52000 - -0,47185; 4,67257 - -0,94370
4,50000; 1,00000; 0,00068 - 0,02088; 0,00000 - 0,32104; 1,00000 - 0,67896; 4,50000 - 3,05532; 4,23848 - 3,05532
4,50000; 1,50000; 0,00069 - 0,06107; 0,00000 - 0,12366; 1,00000 - 0,87634; 4,50000 - 3,94351; 2,82212 - 2,62901
4,50000; 2,00000; 0,00068 - 0,11432; 0,00000 - 0,05493; 1,00000 - 0,94507; 4,50000 - 4,25280; 2,16441 - 2,12640
4,50000; 2,50000; 0,00068 - 0,17154; 0,00000 - 0,02701; 1,00000 - 0,97299; 4,50000 - 4,37845; 1,71235 - 1,75138
4,50000; 3,00000; 0,00068 - 0,22735; 0,00000 - 0,01439; 1,00000 - 0,98561; 4,50000 - 4,43526; 1,42529 - 1,47842
4,50000; 3,50000; 0,00068 - 0,27930; 0,00000 - 0,00818; 1,00000 - 0,99182; 4,50000 - 4,46320; 1,23697 - 1,27520
4,50000; 4,00000; 0,00068 - 0,32660; 0,00000 - 0,00490; 1,00000 - 0,99510; 4,50000 - 4,47793; 1,10765 - 1,11948
4,50000; 4,50000; 0,00815 - 0,36923; 0,00000 - 0,00308; 1,00000 - 0,99692; 4,50000 - 4,48615; 0,99185 - 0,99692
4,50000; 5,00000; 0,15474 - 0,40752; 0,00000 - 0,00201; 1,00000 - 0,99799; 4,50000 - 4,49098; 0,84526 - 0,89820
4,50000; 5,50000; 0,21293 - 0,44192; 0,00000 - 0,00135; 1,00000 - 0,99865; 4,50000 - 4,49392; 0,78707 - 0,81708
4,50000; 6,00000; 0,28366 - 0,47287; 0,00000 - 0,00094; 1,00000 - 0,99906; 4,50000 - 4,49579; 0,71634 - 0,74930
5,00000; 0,50000; 0,00078 - 0,00155; 0,50000 - 1,29333; 0,50000 - -0,29333; 2,50000 - -1,46663; 4,81947 - -2,93326
